Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Joint Velocity,Stator Current,Percent Output,System Clock,,,,,,,
0.0104043,3.77738,0,0.00456226,0.25,0,0,0,0,0,0,0,Fri Jan 20 11:15:53 2023,,,,,,,
0.0206514,7.74462,0,0.00456226,0.25,0,0,0,0,0,0,0,Fri Jan 20 11:15:53 2023,,,,,,,
0.0307835,11.5495,0,0.00456226,0.25,0,0,0,0,0,0,0,Fri Jan 20 11:15:53 2023,,,,,,,
0.0409646,15.3363,0,0.00456226,0.25,0,0,0,0,0,0,0,Fri Jan 20 11:15:53 2023,,,,,,,
0.0511043,19.1164,0,0.00474475,0.26,0,0,0,0,0,0,0,Fri Jan 20 11:15:53 2023,,,,,,,
0.0612364,22.8539,0,0.00474475,0.26,-1,0,0,0,0,0,0.0254154,Fri Jan 20 11:15:53 2023,,,,,,,
0.0713688,26.5547,0,0.00474475,0.26,-1,0,0,0,0,0,0.0293255,Fri Jan 20 11:15:53 2023,,,,,,,
0.0815002,30.2173,0,0.00474475,0.26,-1,0,0,0,0,0,0.0293255,Fri Jan 20 11:15:53 2023,,,,,,,
0.0916354,33.8339,0,0.00474475,0.26,-1,0,0,0,0,0,0.0332356,Fri Jan 20 11:15:53 2023,,,,,,,
0.101768,37.406,0,0.133035,7.29,-3,0,0,0,0,0,0.0391007,Fri Jan 20 11:15:53 2023,,,,,,,
0.111896,40.9191,2,0.133035,7.29,-6,0,0,0,10,0,0.0361681,Fri Jan 20 11:15:53 2023,,,,,,,
0.122019,44.3718,4,0.133035,7.29,-7,0,0,0,20,0,0.0391007,Fri Jan 20 11:15:53 2023,,,,,,,
0.132158,47.7588,6,0.133035,7.29,-10,0,0,0,10,0,0.0518084,Fri Jan 20 11:15:53 2023,,,,,,,
0.142287,51.0832,9,0.133035,7.29,-14,0,0,0,20,0,0.0449658,Fri Jan 20 11:15:53 2023,,,,,,,
0.152385,54.3264,12,0.293262,16.07,-17,0,0,0,30,0,0.0420332,Fri Jan 20 11:15:53 2023,,,,,,,
0.162445,57.4743,16,0.293262,16.07,-21,0,0,0,30,0,0.0478983,Fri Jan 20 11:15:53 2023,,,,,,,
0.172501,60.5342,19,0.293262,16.07,-26,0,0,0,30,0,0.0518084,Fri Jan 20 11:15:53 2023,,,,,,,
0.182552,63.5075,25,0.293262,16.07,-33,0,0,0,50,0,0.0420332,Fri Jan 20 11:15:53 2023,,,,,,,
0.192606,66.388,32,0.293262,16.07,-39,0,0,0,60,0,0.0439883,Fri Jan 20 11:15:53 2023,,,,,,,
0.20266,69.174,37,0.326293,17.88,-45,0,0,0,60,0,0.0498534,Fri Jan 20 11:15:53 2023,,,,,,,
0.212714,71.8608,44,0.326293,17.88,-52,0,0,0,60,0,0.0478983,Fri Jan 20 11:15:53 2023,,,,,,,
0.222766,74.4444,51,0.326293,17.88,-60,0,0,0,60,0,0.0518084,Fri Jan 20 11:15:53 2023,,,,,,,
0.232818,76.9204,58,0.326293,17.88,-66,0,0,0,70,0,0.0469208,Fri Jan 20 11:15:53 2023,,,,,,,
0.242868,79.2863,64,0.326293,17.88,-71,0,0,0,60,0,0.0576735,Fri Jan 20 11:15:53 2023,,,,,,,
0.252925,81.5375,70,0.358958,19.67,-78,0,0,0,50,0,0.0674487,Fri Jan 20 11:15:53 2023,,,,,,,
0.262981,83.6742,78,0.358958,19.67,-87,0,0,0,70,0,0.0615836,Fri Jan 20 11:15:53 2023,,,,,,,
0.273035,85.6889,86,0.358958,19.67,-96,0,0,0,80,0,0.054741,Fri Jan 20 11:15:53 2023,,,,,,,
0.283087,87.5809,95,0.358958,19.67,-104,0,0,0,80,0,0.0527859,Fri Jan 20 11:15:53 2023,,,,,,,
0.293142,89.3465,103,0.358958,19.67,-113,0,0,0,80,0,0.0606061,Fri Jan 20 11:15:53 2023,,,,,,,
0.303195,90.9846,112,0.416625,22.83,-121,0,0,0,80,0,0.0625611,Fri Jan 20 11:15:53 2023,,,,,,,
0.313247,92.4912,120,0.416625,22.83,-130,0,0,0,80,0,0.0664712,Fri Jan 20 11:15:53 2023,,,,,,,
0.323299,93.8654,129,0.416625,22.83,-140,0,0,0,80,0,0.0664712,Fri Jan 20 11:15:53 2023,,,,,,,
0.33335,95.1043,139,0.416625,22.83,-149,0,0,0,100,0,0.058651,Fri Jan 20 11:15:53 2023,,,,,,,
0.343402,96.207,148,0.416625,22.83,-157,0,0,0,100,0,0.0645161,Fri Jan 20 11:15:53 2023,,,,,,,
0.353458,97.1714,157,0.448926,24.6,-165,0,0,0,80,0,0.0742913,Fri Jan 20 11:15:53 2023,,,,,,,
0.363512,97.9968,165,0.448926,24.6,-174,0,0,0,80,0,0.0762463,Fri Jan 20 11:15:53 2023,,,,,,,
0.373565,98.6809,174,0.448926,24.6,-184,0,0,0,80,0,0.0762463,Fri Jan 20 11:15:53 2023,,,,,,,
0.383616,99.2235,184,0.448926,24.6,-193,0,0,0,100,0,0.0635386,Fri Jan 20 11:15:53 2023,,,,,,,
0.393666,99.6234,192,0.448926,24.6,-200,0,0,0,90,0,0.0713587,Fri Jan 20 11:15:53 2023,,,,,,,
0.403717,99.8803,200,0.503491,27.59,-208,0,0,0,80,0,0.0860215,Fri Jan 20 11:15:53 2023,,,,,,,
0.41377,99.9939,209,0.503491,27.59,-216,0,0,0,80,0,0.0801564,Fri Jan 20 11:15:53 2023,,,,,,,
0.423821,99.9639,216,0.503491,27.59,-224,0,0,0,70,0,0.0860215,Fri Jan 20 11:15:53 2023,,,,,,,
0.433872,99.7904,225,0.503491,27.59,-233,0,0,0,80,0,0.0801564,Fri Jan 20 11:15:53 2023,,,,,,,
0.443921,99.4736,233,0.503491,27.59,-241,0,0,0,80,0,0.0801564,Fri Jan 20 11:15:53 2023,,,,,,,
0.453995,99.0132,242,0.572472,31.37,-248,0,0,0,80,0,0.0801564,Fri Jan 20 11:15:53 2023,,,,,,,
0.464049,98.4109,249,0.572472,31.37,-254,0,0,0,60,0,0.0928641,Fri Jan 20 11:15:53 2023,,,,,,,
0.474101,97.6674,254,0.572472,31.37,-259,0,0,0,60,0,0.0928641,Fri Jan 20 11:15:53 2023,,,,,,,
0.484151,96.7837,260,0.572472,31.37,-265,0,0,0,50,0,0.0918866,Fri Jan 20 11:15:53 2023,,,,,,,
0.494203,95.7614,267,0.572472,31.37,-272,0,0,0,50,0,0.0899316,Fri Jan 20 11:15:53 2023,,,,,,,
0.504259,94.6012,273,0.65368,35.82,-280,0,0,0,70,0,0.0821114,Fri Jan 20 11:15:53 2023,,,,,,,
0.514314,93.3047,281,0.65368,35.82,-285,0,0,0,70,0,0.0811339,Fri Jan 20 11:15:53 2023,,,,,,,
0.524367,91.8743,287,0.65368,35.82,-290,0,0,0,60,0,0.0860215,Fri Jan 20 11:15:53 2023,,,,,,,
0.534419,90.3124,293,0.65368,35.82,-296,0,0,0,50,0,0.0909091,Fri Jan 20 11:15:53 2023,,,,,,,
0.544469,88.6208,302,0.65368,35.82,-300,0,0,0,40,0,0.0909091,Fri Jan 20 11:15:53 2023,,,,,,,
0.554526,86.8023,302,0.686711,37.63,-303,0,0,0,40,0,0.0938416,Fri Jan 20 11:15:53 2023,,,,,,,
0.564579,84.8575,305,0.686711,37.63,-304,0,0,0,30,0,0.0977517,Fri Jan 20 11:15:53 2023,,,,,,,
0.57463,82.7926,306,0.686711,37.63,-304,0,0,0,10,0,0.109482,Fri Jan 20 11:15:53 2023,,,,,,,
0.584683,80.608,307,0.686711,37.63,-305,0,0,0,0,0,0.105572,Fri Jan 20 11:15:53 2023,,,,,,,
0.594746,78.3082,307,0.686711,37.63,-305,0,0,0,0,0,0.111437,Fri Jan 20 11:15:53 2023,,,,,,,
0.604803,75.8921,308,0.779963,42.74,-306,0,0,0,10,0,0.100684,Fri Jan 20 11:15:53 2023,,,,,,,
0.614857,73.37,311,0.779963,42.74,-309,0,0,0,20,0,0.107527,Fri Jan 20 11:15:53 2023,,,,,,,
0.624911,70.742,312,0.779963,42.74,-309,0,0,0,10,0,0.0860215,Fri Jan 20 11:15:53 2023,,,,,,,
0.634962,68.0137,313,0.779963,42.74,-309,0,0,0,10,0,0.0909091,Fri Jan 20 11:15:53 2023,,,,,,,
